iter	Passed	Remaining
217	2844	10204
218	2858	10195
219	2863	10151
220	2871	10120
221	2874	10072
222	2881	10039
223	2897	10036
224	2904	10003
225	2909	9962
226	2919	9940
227	2925	9906
228	2934	9881
229	2942	9852
230	2951	9824
231	2962	9805
232	2965	9761
233	2973	9732
234	2981	9705
235	2989	9677
236	2995	9642
237	2997	9596
238	3007	9577
239	3015	9549
240	3024	9524
241	3031	9496
242	3036	9458
243	3038	9414
244	3039	9367
245	3049	9346
246	3053	9309
247	3055	9264
248	3063	9241
249	3067	9202
250	3069	9158
251	3070	9114
252	3081	9099
253	3101	9110
254	3134	9157
255	3149	9152
256	3158	9132
257	3215	9248
258	3231	9245
259	3246	9239
260	3248	9198
261	3257	9176
262	3261	9140
263	3263	9099
264	3276	9087
265	3278	9047
266	3288	9028
267	3322	9074
268	3332	9056
269	3338	9027
270	3341	8988
271	3344	8952
272	3349	8919
273	3396	8999
274	3406	8982
275	3423	8981
276	3431	8956
277	3439	8932
278	3448	8912
279	3507	9019
280	3514	8992
281	3531	8990
282	3547	8987
283	3557	8967
284	3575	8971
285	3595	8976
286	3611	8971
287	3623	8957
288	3654	8991
289	3659	8959
290	3667	8935
291	3704	8981
292	3739	9024
293	3782	9083
294	3788	9054
295	3812	9068
296	3833	9074
297	3836	9037
298	3843	9011
299	3867	9025
300	3884	9020
301	3906	9028
302	3922	9022
303	3945	9034
304	3953	9008
305	3980	9027
306	3985	8996
307	3998	8984
308	4000	8945
309	4016	8939
310	4050	8974
311	4110	9063
312	4154	9118
313	4185	9143
314	4238	9216
315	4251	9202
316	4271	9202
317	4284	9188
318	4299	9178
319	4325	9191
320	4344	9190
321	4353	9166
322	4360	9140
323	4367	9111
324	4369	9075
325	4380	9057
326	4385	9026
327	4412	9040
328	4425	9026
329	4480	9096
330	4520	9136
331	4539	9134
332	4558	9130
333	4651	9275
334	4657	9244
335	4668	9225
336	4685	9217
337	4765	9334
338	4773	9308
339	4795	9308
340	4806	9289
341	4823	9280
342	4832	9255
343	4844	9237
344	4848	9204
345	4871	9207
346	4880	9184
347	4884	9151
348	4892	9126
349	4895	9090
350	4901	9063
351	4909	9038
352	4920	9017
353	4924	8987
354	4933	8963
355	4990	9028
356	5006	9017
357	5018	8999
358	5022	8967
359	5042	8965
360	5119	9062
361	5128	9038
362	5136	9014
363	5148	8995
364	5152	8963
365	5218	9039
366	5238	9035
367	5249	9016
368	5257	8991
369	5260	8956
370	5262	8922
371	5283	8918
372	5364	9016
373	5370	8989
374	5376	8961
375	5386	8939
376	5397	8919
377	5458	8981
378	5473	8968
379	5489	8957
380	5499	8934
381	5505	8907
382	5561	8958
383	5568	8932
384	5581	8916
385	5586	8886
386	5597	8865
387	5627	8876
388	5648	8872
389	5651	8838
390	5657	8812
391	5666	8788
392	5674	8765
393	5682	8739
394	5716	8755
395	5723	8729
396	5737	8714
397	5747	8692
398	5753	8666
399	5769	8653
400	5799	8663
401	5802	8631
402	5812	8609
403	5815	8578
